M/Z,Intensity
295.05906,3031
296.86986,19596
297.21473,114739
302.55896,33914
302.9306,107525
303.17712,3484
303.21345,12344
304.16124,4291
304.26074,4170
305.09178,5872
307.05387,3031
307.10742,3150
307.64303,4483
307.97183,4409
308.09158,15510
308.17671,3124
309.06954,4183
309.09497,3017
309.66991,3249
310.06472,3688
310.07284,2914
311.07265,3005
311.07905,6121
311.08532,6535
311.13481,3570
312.04897,26349
312.0806,331069
312.08873,122538
312.09321,63541
312.10173,136315
312.10884,27468
312.121,5808
312.12549,3807
312.13004,13880
312.13418,3685
312.13817,14889
312.14325,4245
312.15519,8642
312.16639,35036
312.17774,328797
312.18581,3276
312.19172,6109
312.20289,4886
312.20699,5259
312.22805,2997
312.23208,3002
312.2645,3476
312.27571,3478
312.29781,3076
312.30094,5190
312.31221,25057
312.36229,3045
312.41162,5122
313.07586,85917
313.08401,110920
313.08571,24426
313.08849,121933
313.10104,646804
313.10949,27876
313.12204,8580
313.13331,18181
313.1505,43691
313.15465,4368
313.16177,52674
313.16977,5001
313.17472,6097
313.18098,52007
313.18674,37796
313.19804,37632
313.20938,59471
313.22326,5789
313.22735,23052
313.2344,24552
313.24847,3930
313.25978,11243
313.31555,3991
314.06478,6862
314.08099,23308
314.08364,50946
314.0917,21717
314.09622,393931
314.10438,165401
314.1089,131746
314.11749,101286
314.13451,16202
314.14573,35070
314.16101,14466
314.17095,6242
314.18215,47404
314.19335,214649
314.21269,4558
314.21854,14484
314.22265,4999
314.22989,4843
314.24374,3394
314.28019,6111
315.07628,177532
315.09158,75519
315.09968,87333
315.1014,23931
315.10414,135006
315.11257,31880
315.11665,124535
315.1207,12046
315.16614,26948
315.17731,70477
315.1968,21918
315.20265,37068
315.21384,6887
315.21794,13130
315.24294,4017
315.26424,3659
315.27546,5504
316.05171,6873
316.0797,33479
316.08416,27909
316.08813,125271
316.09502,11770
316.09659,67751
316.09927,50580
316.10735,26976
316.11189,112584
316.12003,28866
316.12451,19145
316.1332,13633
316.1502,8141
316.16137,39747
316.16544,8527
316.18074,5732
316.18694,21014
316.19786,5454
316.20196,4686
316.21179,67418
316.23829,6853
316.27061,3949
316.68855,3225
317.08341,110773
317.09191,491304
317.09589,78427
317.10712,53120
317.11527,25145
317.11978,27759
317.12844,13679
317.13238,13092
317.14542,5308
317.15663,11396
317.18188,8269
317.18603,4900
317.1931,934419
317.21822,12005
317.22229,4277
317.25467,3050
317.25867,5031
317.29508,3437
318.06745,36771
318.07604,65859
318.07865,18860
318.08674,23154
318.0912,138572
318.09528,100779
318.10376,143272
318.11501,12882
318.12335,5780
318.12762,26979
318.12948,6752
318.14071,3111
318.14468,7185
318.14876,3934
318.15587,4887
318.18121,111383
318.19017,16054
318.19646,123942
318.21746,4443
318.24036,5340
318.2539,3294
318.30023,33855
319.06264,16601
319.08649,79088
319.09457,32684
319.09903,95585
319.10761,76590
319.11157,105080
319.12283,21990
319.13554,4224
319.14,3881
319.14409,5549
319.16104,4611
319.16503,3133
319.17225,147296
319.18451,17100
319.19752,27422
319.19982,4900
319.21277,4077
319.24915,3627
319.27432,3881
319.30353,4654
319.31069,10733
320.03187,9228
320.0619,49932
320.07042,16671
320.08303,16095
320.08987,14865
320.09164,23685
320.09431,28103
320.1069,204335
320.11493,24814
320.11937,23682
320.13509,3661
320.13921,19616
320.14319,4178
320.16042,6020
320.1716,59118
320.1757,16013
320.18275,5652
320.1967,54009
320.23327,9001
320.23492,16014
320.25589,8186
320.71463,2888
321.05716,21686
321.06529,10046
321.08685,24705
321.09081,95207
321.10201,114958
321.11014,49897
321.11463,49306
321.12327,11281
321.12727,23878
321.13853,5866
321.15554,13298
321.15961,4909
321.16671,3723
321.17486,5789
321.19199,4529
321.20023,6993
321.2032,3946
321.21718,3361
321.22839,53673
321.25364,3269
321.26488,3343
321.28998,4863
321.30126,3480
321.68232,12951
321.94739,19713
322.0605,4069
322.0775,193932
322.08605,125388
322.09417,17607
322.09867,17112
322.10549,22580
322.10997,33934
322.12255,80357
322.13063,4008
322.15074,11647
322.1542,57794
322.1761,5565
322.18731,147327
322.21247,6733
322.22356,3251
322.23187,6467
322.24883,3682
322.32159,5768
322.71424,3955
323.07278,122696
323.08089,48008
323.08539,25647
323.08952,24884
323.09399,67793
323.10659,81859
323.11779,74740
323.12583,13295
323.13027,8395
323.13478,6045
323.14606,5596
323.15422,3455
323.1577,4116
323.17537,3779
323.18246,17375
323.19059,17316
323.2076,12062
323.21886,3703
323.24404,6208
323.26925,3436
323.28056,3510
323.30561,6663
323.31676,4434
323.85802,5922
324.06798,18527
324.0761,29086
324.0806,40315
324.09325,456703
324.10181,136401
324.11427,8404
324.12106,11312
324.1255,8373
324.13,10741
324.13807,15480
324.14525,3544
324.15524,6105
324.16649,20566
324.1777,11993
324.20281,5703
324.21413,3136
324.21689,3049
324.22811,3797
324.26456,6487
324.27582,3380
324.30099,3038
324.71394,3832
324.93985,3120
325.03735,3751
325.07582,18948
325.08847,325149
325.0966,125126
325.1011,169954
325.10522,28820
325.10965,70294
325.12219,11410
325.13339,36545
325.15047,9795
325.1595,11193
325.16175,15297
325.18689,17669
325.19585,8277
325.19809,35986
325.22329,12546
325.22737,3024
325.23449,3187
325.24851,3428
325.25972,4007
325.26377,2967
325.28494,2932
325.32107,2836
325.35774,4266
325.93939,29486
326.08366,62431
326.09175,88144
326.09623,231362
326.10437,44027
326.10888,264136
326.11747,132863
326.14344,10353
326.14569,26460
326.1588,7043
326.17087,9353
326.18216,72268
326.19335,7787
326.20728,3041
326.21848,4715
326.2438,3560
326.24778,2813
326.28016,4582
326.29138,3524
326.31659,2902
326.3781,5188
327.05291,36475
327.08036,60085
327.08887,19510
327.09159,112605
327.09965,65499
327.1041,172075
327.11221,73684
327.11664,152183
327.12071,28341
327.12521,12875
327.12976,13796
327.14917,12891
327.16615,49524
327.17736,36126
327.20257,35022
327.21379,23899
327.24301,8486
327.26418,5899
327.27545,4026
327.33698,5815
328.07551,66488
328.09498,25222
328.09664,104221
328.09932,42044
328.10746,44963
328.11197,194387
328.12005,41625
328.12452,40578
328.13307,45747
328.15014,15975
328.16136,19743
328.16952,5856
328.19782,37201
328.20191,25684
328.20898,38394
328.23423,46498
328.24541,7829
329.05961,22397
329.06859,41743
329.07078,13351
329.07889,11250
329.09199,46356
329.09599,266370
329.10451,11679
329.10722,84789
329.11528,48762
329.11974,43863
329.12832,29872
329.13228,26910
329.13641,4876
329.14542,38112
329.15672,58365
329.18179,37649
329.19299,132282
329.1971,11471
329.21823,15003
329.22948,11000
329.23359,9915
329.25468,4846
329.69802,3797
329.95403,6734
330.05961,98642
330.07864,8574
330.09126,229735
330.09935,66704
330.10381,62674
330.11235,73758
330.11496,18334
330.12337,8591
330.12758,43153
330.14073,13183
330.14882,8524
330.16007,5014
330.16586,10705
330.17705,33243
330.18114,9496
330.18828,9654
330.19219,2843
330.19641,12193
330.21349,4804
330.21761,3543
330.22469,3065
330.23593,2988
330.2539,18712
330.78869,5240
331.05402,17256
331.07122,75323
331.07525,33218
331.0865,56480
331.09459,55459
331.09905,106761
331.11158,172930
331.12279,26275
331.13995,9147
331.14405,10498
331.16111,24809
331.16526,20017
331.17235,41190
331.1975,13654
331.20161,3281
331.20879,85162
331.22002,1475364
331.24915,5780
331.25731,3003
331.27041,3897
331.27439,4683
332.04928,5185
332.07048,8445
332.07455,8841
332.07907,21952
332.08307,15295
332.09427,56480
332.10235,21448
332.10683,164030
332.11489,42493
332.11935,33328
332.12797,6199
332.13928,4733
332.14327,5664
332.15647,10755
332.16039,8938
332.1716,4222
332.1757,3644
332.19274,10601
332.1968,17176
332.21212,6128
332.22337,183734
332.33109,4591
333.06973,93379
333.07828,21686
333.08685,1473852
333.10214,86453
333.11025,39244
333.11471,67113
333.12307,7312
333.12722,31748
333.15976,7389
333.17687,8537
333.188,385871
333.20311,3374
333.21316,5466
333.22428,4225
333.22674,5349
333.22849,4710
333.26485,9919
333.28999,4710
333.32643,9505
334.06505,59088
334.07313,21413
334.08619,34156
334.09018,299459
334.09467,106029
334.09862,55992
334.10989,42933
334.11802,11733
334.12253,85587
334.15495,10122
334.17609,15140
334.19141,52523
334.24893,3122
334.29516,2978
335.06832,10939
335.08546,347582
335.09398,53623
335.10259,3631123
335.11772,87217
335.12579,17534
335.13027,9880
335.13893,4122
335.17124,5322
335.17538,3498
335.18248,4049
335.19236,4693
335.20757,3468
335.28047,409725
336.08071,271897
336.08879,101258
336.09325,39706
336.1018,135166
336.10588,729351
336.1104,38209
336.12109,16449
336.12558,11242
336.1382,21648
336.16644,7316
336.20291,7220
336.22985,3151
336.27586,8902
336.2839,81837
336.33733,5153
337.07586,62857
337.08396,76075
337.08843,64830
337.10105,540270
337.10935,75942
337.11828,297094
337.13347,40363
337.15047,8363
337.1869,19703
337.19816,16716
337.20939,10633
337.28491,6090
337.28721,3786
337.32146,2939
337.3326,5140
338.08103,15376
338.08369,27625
338.09631,386224
338.10444,145396
338.10893,102938
338.11749,104290
338.12161,57993
338.14572,10663
338.18227,142239
338.21847,3929
339.07393,15936
339.09157,83712
339.09972,102190
339.1042,137525
339.11274,48343
339.11679,183131
339.1208,19041
339.14908,8735
339.16614,11833
339.17518,15673
339.17741,13813
339.18562,16250
339.20259,13332
339.21379,18472
339.22499,6199
339.23897,6393
339.3006,3208
339.37335,6501
340.08813,65340
340.09669,89150
340.09935,58868
340.1075,33761
340.112,156651
340.12011,49547
340.12455,38012
340.13315,31465
340.16138,40031
340.17265,16631
340.19787,34629
340.20901,8893
340.23413,6438
341.08342,65253
341.09173,18088
341.09592,44218
341.10003,15319
341.10268,9083
341.1045,11631
341.10717,59058
341.1153,41385
341.11981,54085
341.12841,24793
341.13241,27670
341.14549,15541
341.1567,15888
341.16476,5020
341.16979,5458
341.18178,35063
341.19306,46325
341.19724,6214
341.20431,6738
341.21831,8708
341.2295,7682
341.305,6832
342.06739,25800
342.07864,12410
342.0868,11810
342.09128,77434
342.10386,150067
342.1124,52162
342.11504,20217
342.11743,10987
342.12321,11114
342.12761,47462
342.1407,11378
342.14877,6335
342.15594,39152
342.17711,23133
342.18519,3222
342.1883,9628
342.1964,3404
342.21348,27604
342.2176,4256
342.22472,22643
342.25405,8583
343.04793,5678
343.07124,18307
343.08646,44692
343.09905,119401
343.10722,41986
343.11167,104272
343.12294,26766
343.13105,7523
343.14411,9847
343.16104,16631
343.1723,96313
343.20887,283978
343.23387,11262
343.29558,3575
343.94997,22089
344.06187,30878
344.07647,74566
344.08309,32577
344.09439,26387
344.10254,27791
344.10699,174944
344.11504,25633
344.11947,55841
344.12801,13730
344.13913,3484
344.14319,5205
344.15634,20216
344.16764,4096
344.17575,9930
344.18155,5012
344.19275,40764
344.21209,46274
344.22913,7516
344.24036,5013
344.26965,73553
345.05459,7567
345.05715,12531
345.08693,26268
345.09096,45785
345.10216,113417
345.11023,48022
345.1147,58929
345.12302,14175
345.12728,49834
345.14038,18944
345.15976,7435
345.17677,19095
345.18803,144242
345.21323,8707
345.22453,358741
345.27292,12474
345.92807,7067
346.05465,14034
346.07765,138716
346.08616,62404
346.09425,5889
346.09836,10231
346.10548,21780
346.1073,12678
346.10996,33767
346.12259,96832
346.1307,6817
346.14381,7774
346.15101,34981
346.17198,5245
346.17606,19212
346.1832,18054
346.18714,2907
346.19134,14754
346.20855,18440
346.21975,63546
346.22792,54595
346.24485,42001
346.26005,3491
347.07038,14918
347.07291,92978
347.08103,40589
347.08539,11365
347.09392,26677
